"","Name","Address","City","State","Zip","Phone_Number"
"1","SUPERMERCADO GUERITO","454 S CARLISLE ST","SOUTH BEND","IN","46619","(574) 234-7170"
"2","INN ON HISTORIC W WASHINGTON","322 W WASHINGTON ST","SOUTH BEND","IN","46601","(574) 288-4089"
"3","LET'S SPOON FROZEN YOGURT / CL","1290 E IRELAND RD","SOUTH BEND","IN","46614","(574) 243-5847"
"4","R & J QUICK MART","1956 E EWING AVE","SOUTH BEND","IN","46613","(574) 282-1133"
"5","THE EXCHANGE","112 W JEFFERSON BLVD","SOUTH BEND","IN","46601","(574) 310-8999"
"6","JEANNIES WHITE HOUSE LLC","1444 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 855-4423"
"7","LANE'S DAIRY QUEEN BRAZIER","2015 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 271-1102"
"8","FRIENDS FOOD MART INC - DBA","3601 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 233-0099"
"9","THE LOUVERED DOOR","1622 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 237-9170"
"10","YUMMY CUPCAKES","119 S MICHIGAN ST","SOUTH BEND","IN","46601","(574) 289-8669"
"11","NEVERIA TRES MANGOS DE MICHOAC","2102 W WESTERN AVE","SOUTH BEND","IN","46619","(708) 224-3140"
"12","CANTEEN VENDING - DONT USE","4402 TECHNOLOGY DR","SOUTH BEND","IN","46628","(800) 234-7650"
"13","THYME OF GRACE","2714 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 288-0552"
"14","AMER. LEGION PULASKI POST 357","5414 W SAMPLE ST","SOUTH BEND","IN","46619","(574) 234-5073"
"15","BURGER KING #7055","2171 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 273-2220"
"16","ONE STOP #1","209 W SAMPLE ST","SOUTH BEND","IN","46601","(574) 246-9740"
"17","ELEVEN-FORTY CAFE","1140 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 233-1680"
"18","BURGER KING #6574","4852 W WESTERN AVE","SOUTH BEND","IN","46619-2308","(574) 232-3622"
"19","BURGER KING #3722","121 W LASALLE AVE","SOUTH BEND","IN","46601","(574) 233-8651"
"20","LOW BOBS EXPRESS","4505 AMERITECH DR","SOUTH BEND","IN","46628","(574) 243-5392"
"21","ST VINCENT DE PAUL SOCIETY OF","520 CRESCENT AVE","SOUTH BEND","IN","46617","(574) 234-6000"
"22","FARMER'S MARKET CAFE","1105 NORTHSIDE BLVD","SOUTH BEND","IN","46615","(574) 282-1259"
"23","LA MAREA BAR","3401 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 329-2055"
